Source: https://docs.google.com/spreadsheets/d/1BvEiTJVE7np-FOoj2qPwpvIGKJneQHX3VoA6LgKcM8k/export?format=csv

---

Control+A,,,,,,,,,,,,,,,,,,A:Z,,,,,,,
,No,Tanggal,Jam Complaint,Lantai,Jenis Unit,Tag No.,Brand,Model,Nama Teknisi,Nama Supervisor,Kategori ,Root Cause Analysis,Corrective Action,Rekomendasi,Last PM,Status,,Tenant / Area,,,,,,,
,1,01 Maret 2026,,LB,FCU,,,,,,Ruangan Panas,AC kurang dingin,,,,,,Chagee,,,,,,,
,2,01 Maret 2026,,,FCU,,,,,,Kebocoran,AC bocor,Telah dilakukan pemvacuman hingga kering,,,,,BMF Clinic,,,,,,,
,3,01 Maret 2026,,L4,,,,,,,Kebocoran,Kebocoran berasal dari air balik,Pengecekan pada kebocoran,Pemasangan filter dan service,,Closed,,Gyukaku,,,,,,,
,4,01 Maret 2026,,L3,FCU,,,,,,Kebocoran,Kebocoran berasal dari bak drain unit yang keropos,,Pemasangan bak temporary,,,,Optik Zeis,,,,,,,
,5,02 Maret 2026,,L1,FCU,,,,,,Kebocoran,AC bocor,Pengecekan kebocoran dan pemvacuman pada titik kebocoran dan area yang terkena kebocoran,Pergantian dop shok,,Closed,,Osteria Gia,,,,Status,Pending,,
,6,02 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,AC mati,Penggantian termostat yang terbakar,,,Closed,,Bacha Coffee,,,,,Closed,,
,7,02 Maret 2026,,L3,FCU,,,,,,Ruangan Panas,AC kurang dingin dan tidak ada flow,"Pengecekan ke unit untuk sementara pintu unit FCU dibuka, suhu ruangan turun dari yang sebelumnya.",,,Closed,,Soup Restaurant,,,,,,,
,8,02 Maret 2026,,L5,FCU,,,,,,Non AC,Kebocoran berasal dari kondensasi pipa chiller,"Pengecekan kebocoran dan pemvacuman pada titik kebocoran dan area yang terkena kebocoran, pipa chiller yang kondensasi sudah dibantu dibaluti dengan metalizing",,,Closed,,Momo Paradise,,,,Root Cause Analysis,Dicek Temperatur di tiap area,,
,9,02 Maret 2026,,P2,SPLIT,,Panasonic,,,,Ruangan Panas,"Kompresor tidak berfungsi, kabel terbakar dan short body",,Perlu pergantian kompresor,,Done,,Pos Security Loading Dock,,,,,,,
,10,03 Maret 2026,,L2,FCU,,,,,,Ruangan Panas,AC mati,Pengecekan AC mati bukanunit FCU tetapi unit AHU,,,Closed,,Armani,,,,,,,
,11,03 Maret 2026,,L5,FCU,,,,,,Non AC,Kebocoran berasal dari flexible supply yang kondensasi,"pemvacuman di flexible yang terkena kondensasi air supply, hingga kering",,,Closed,,Wee Nam Lee,,,,,,,
,12,03 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,,Telah dilakukan pengecekan AC kurang dingin,,,Closed,,Gucci,,,,,,,
,13,03 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,AC kurang dingin disebabkan 3unit FCU Falve nya tertutup,Telah dilakukan pengecekan Valve yang tertutup,,,Closed,,Pellegrini's,,,,,,,
,14,04 Maret 2026,,L2,FCU,,,,,,Non AC,Kebocoran bukan dari AC tetapi dari dak atas,,,,Closed,,Paul Bakery,,,,,,,
,15,04 Maret 2026,,L3,FCU,,,,,,Kebocoran,Kebocoran berasal dari kondensasi unit,Telah dilakukan pemvacuman,,,Closed,,Massiro & Co,,,,,,,
,16,4 Maret 2026,,L2,AHU,,York,,,,Ruangan Panas,V Belt kendur karena pully sudah renggang,Penggantian V Belt,Perlu penggantian pully,,Done,,Jade Home (P2-07),,,,,,,
,17,4 Maret 2026,,L5,AHU,,York,,,,Ruangan Panas,V Belt terlepas dari pully,Penggantian V Belt,,,Closed,,Koridor Nika (P5-10),,,,,,,
,18,4 Maret 2026,,P2,SPLIT,,Panasonic,,,,Ruangan Panas,"Terdapat es pada pipa outdoor, indikasi kekurangan freon",Penambahan freon dan cleaning,,,Closed,,Ruang Provost,,,,,,,
1,19,4 Maret 2026,,P2,SPLIT,,Panasonic,,,,Ruangan Panas,Tidak ditemukan outdoor,,Penggantian outdoor,,Pending,"Outdoor di P3, dipasang di R. Pak Bagja",Office Secure Parking (R. Pak Bagja),18 April,,,,,,
,20,05 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,,Telah dilakukan pengecekan temperatur dan diffuser di semua area,,,Closed,,Pellegrini's,,,,,,,
,21,05 Maret 2026,,L3,FCU,,,,,,Ruangan Panas,,Telah dilakukan pengecekan temperatur dan diffuser di semua area,,,Closed,,Soup Restaurant,,,,,,,
,22,05 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,,Pengecekan temperature dan diffuser serta penggantian filter udara baru,,,Closed,,Tod's,,,Kategori ,Ruangan Panas,,,
,23,05 Maret 2026,,P2,FCU,,,,,,Kebocoran,"Kebocoran berasal dari air yang menggenang di bak drain sehingga air terhisap angin blower, air yang menggenang di bak drain disebabkan bak drain yang sudah melengkung tengahnya dan evaporator bagianbawah sudah pada rebah",,"Pergantian bak drain yang sudah melengkung, bak drain model : MCQUAY MCC060",,Closed,,Escalator Timur,,,,Kebocoran,,,
2,24,05 Maret 2026,,L4,FCU,,,,,,Kebocoran,"Kebocoran berasal dari pipa airventing yang melua, air meluap di pipa airventing disebabkan pipa airventing terlalu rendah dari unit AC",Telah dilakukan pemvacuman pada pipa airventing yang meluap dan area yang terkenakebocoran hingga kering.,,,Pending,,De Salon,,,,Non-AC,,,

,25,5 Maret 2026,,L3,AHU,,York,,,,Kebocoran,"Air meluap dari bak drain, terdapat kebocoran pada bak drain",Pemvakuman dan pengeringan area,Perbaikan bak drain,,,,Koridor Eskalator N (L3-03),,,,,,,
,26,5 Maret 2026,,L3,AHU,,York,,,,Ruangan Panas,V Belt terlepas dari pully,Penggantian V Belt,,,Closed,,Koridor Smiggle(P3-03),,,,,,,
,27,06 Maret 2026,,L1,FCU,,,,,,AC Noise,Suara Berring motor noise atau rusak,Masih dalam pengerjaan,,,Done,,Faure Le Page,,,,,,,
,28,06 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,Minta dicek temperature sudah sesuai atau belum,Telah dilakukan pengecekan temperature dengan data sbb: Area Depan Kanan 19.8 Area Kasir 19.7 Pintu Masuk 18.5 Ruang Dalam Kanan 17.1 Ruang Dalam Kiri 16.4 Area Tengah 18.4 Area Depan 16.4 Area VIP 16.6,,,Closed,,Pellegrini's,,,,,,,
,29,06 Maret 2026,,P2,FCU,,,,,,Kebocoran,Kebocoran berasal dari bak drainyang tersumbat lendir,Telah dilakukan pemvacuman sampai kering pada area kebocoran,,,Closed,,Masjid,,,,,,,
,30,06 Maret 2026,,L4,FCU,,,,,,Non AC,Ada noda di plafon seperti rembesan air AC,"Belum dilakukan pengecekan kebocoran karena sedang banyak customer, Pengecekan akan dilakukan jam 21.00 koordinasi dengan ibu Gina (Tenant)",,,Done,,Josephine Anni,,,,,,,
,31,06 Maret 2026,,L4,FCU,,,,,,Ruangan Panas,Bak drain keropos dan cover body unit bagian bawah keropos,,Penggantian bak drain dan cover body unit bagianbawah,,Closed,,Samwon Garden,,,March 2026,,,April 2026,
,32,06 Maret 2026,,P4,FCU,,,,,,Kebocoran,"kebocoran disebabkan line drain tersumbat lendir,sehingga air terbawa blower masuk ke ducting suplly",Sudah dikeringkan dan dilakukan pemvacuman,,,closed,,Masjid,,,Ruangan Panas,57,,Ruangan Panas,62
,33,06 Maret 2026,,L2,FCU,,,,,,Kebocoran,kebocoran berasal dari bak drain yg meluap karna tersumbat lendir.,Sudah dilakukan pemvacuman pada pipa airventing yg meluap dan area yg terkena bocor,Service,,closed,,Alo,,,Kebocoran,38,,Kebocoran,14
,34,06 Maret 2026 ,,L1,FCU,,,,,,Non AC,Kebocoran berasal dari tutup dop yang sudah rembes sehingga menyababkan adanya kebocoran,Untuk sementara dibalut dengan isolasi seal tape,Pengagntian tutup dop yang sudah rusak,,Done,,Shabu Shabu House,,,NON AC,21,,NON AC,19
,35,6 Maret 2026,,L3,AHU,,York,,,,Ruangan Panas,V Belt sudah kendur,Penggantian V Belt,,,Closed,,Miniapolis (P3-07),,,AC Noise,9,,AC Noise,7
3,36,6 Maret 2026,,P3,Split,,Daikin,,,,Ruangan Panas,Ditemukan kebocoran pada evaporator,,Penggantian evaporator,,Pending,Cross Check,Gudang Logistik 002,,,AC Mati,11,,AC Mati,12
,37,07 Maret 2026,,L3,FCU,,,,,,Kebocoran," kebocoran berasal dari kondensasi yg terbawa angin blower masuk ke duct ting supply, kebocoran di sebab kan dari unit yg kotor",Pemvacuman pada titik kebocoran dan area yang terkenakebocoran,Service,,,,Designer Workshop,,,Total,136,,Total,114
,38,07 Maret 2026,,LB,FCU,,,,,,Kebocoran,Kebocoran berasal dari bak drain yang meluap,,Pihak tenant minta dimonitoring karena hanya dikasih waktu 15menit,,Done,,Karada,,,,,,,
,39,07 Maret 2026,,L3,FCU,,,,,,Non AC,Kebocoran berasal dari kondensas pipa chiller ,Sudah dilakukan perbaikan,,,Closed,,Miki House,M148-M281,,,,,,
,40,08 Maret 2026,,L4,FCU,,,,,,Non AC,Kebocoran berasal dari dak atas bukan dari unit FCU,Telah dialkukan pemvacuman ,,,,,Batik Keris,,,,,,,
,41,08 Maret 2026,,LB,FCU,,,,,,Kebocoran,"Kebocoran berasal dari air kondensasi yang terhisap blower, akses untuk pengecekan ke unit terlalu sulit/sempit.",,Penambahan akses manhole di area dekat evaporator supply,,,,Snack Zone,,,,,,,
,42,08 Maret 2026,,L5,FCU,,,,,,Kebocoran,"Kebocoranbersal dari sela sela unit FCU, penyebab kebocoran bersal dari bak drain yang keropos sehingga masuk ke sela unit.","Telah dilakukan pemvacuman pada area yang terkena kebocoran, untuk sementara di titik kebocoran diberi alas plastik agar konden tidak langsung jatuh ke plavon.",Perbaikan atau pemasangan bak temporary.,,,,Sate Khas Senayan,,,,,,,
,43,08 Maret 2026,,LB,FCU,,,,,,Kebocoran,"Kebocoran berasal dari bak drain yang meluap, pipa line drain yang kurang elevasi",Telah dilakukan pengecekan AC bocor dan perbaikan pipa line drain yang kurang elevasi.,Monitoring untuk memastikan pengerjaan AC bocor tuntas.,,done,,Karada,,,,,,,
,44,08 Maret 2026,,P2,AHU,,PANASONIC,CU-YN9WKJ,Andri,,Ruangan Panas,Tekanan refrigerant pada unit berkurang tinggal 95 psi.,Telah dilakukan penambahan refrigerant pada unit sehingga mencapai tekanan ideal.,,8 Maret 2026,Closed,,Ruang Call Center,,,,,,,

,45,09 Maret 2026,,L3,FCU,,,,,,Kebocoran,Kebocoran terjadi karena ducting supplu air terbawa blower karena evaporator kotor,Telah dilakukan pemvacuman hingga kering pada area titik kebocoran,Monitoring untuk memastikan pengerjaan AC bocor tuntas.,,Done,,Designer Workshop,,,,85,,,
,46,09 Maret 2026,,L1,FCU,,,,,,Kebocoran,Kebbocoran berasal dari bak drain yang meluap,Telah dilakukan pemvacuman pada area titik kebocoran hingga kering,,,Done,,Valentino,,,,33,,,
,47,09 Maret 2026,,L4,FCU,,,,,,Kebocoran,Kebocora berasal dari pipa airventing terlalau rendah dari unit,Telah dilakukan perbaikan sementara dengan penutupan airventing menggunakan solasi,Perbaikan atau perubahan pada pipa airventing.,,done,,Headline,,,,,,,
,48,09 Maret 2026,,P2,SPLIT,,,,Sarifuddin,,Ruangan Panas,Ruangan panas karena refrigeran berkurang.,Telah dilakukan penambahan refrigerant pada unit sehingga mencapai tekanan ideal.,"Pengecekan kebocoran pada evaporator, instalasi dan kondensor.",9 Maret 2026,Closed,,Corridor Lift 7-8,,,,,,,
,49,09 Maret 2026,,P2,SPLIT,Unit 2,,,Sarifuddin,,Ruangan Panas,Ruangan panas karena refrigeran berkurang.,Telah dilakukan penambahan refrigerant pada unit sehingga mencapai tekanan ideal.,,,Closed,,Ruang Mesin Lift 1-2,,,,,,,
,50,09 Maret 2026,,P3,SPLIT,,,,Andri,,Ruangan Panas,"Ruangan panas karena tekanan refrigeran berkurang, diakibatkan ada kebocoran pada evaporator",,Penggantian indoor,Pending,,,Locker Aeon,,,,,,,
,51,10 Maret 2026,,L3,FCU,,,,,,Ruangan Panas,,"Telah dilakukan pengecekan temperature, dengan hasil sbb: Hall kanan : 26.1 VIP sebelah kiri : 24.8 VIP sebelah kanan : 24.5 Hall samping: 21.6 Hall depan : 21.6",,,,,Soup Restaurant,,,based on floor,Ruangan Panas,Kebocoran,,
,52,10 Maret 2026,,L3,FCU,,,,,,Non AC,Kebocoran berasal dari kondensasi pipa chiller ,"Telah dilakukan perbaikan dengan dibaluti metalizing, dan dilakukan pemvacuman hingga kering.",,,,,OadKids,,,L1,18,6,,
,53,10 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,AC kurang dingin disebabkan 1 unit motor fan short body. type MC QUAY MCC60,"Telah dilakukan dilakukan pengecekan thermostat. pengecekan MCB, pengecekan instalasi kabel fan motor",Penggantian fan motor type MC QUAY MCC60,11 Feb 2026,,,Tory Burch,,,L2,3,1,,
,54,10 Maret 2026,,L4,AHU,,,,,,Kebocoran,Ruangan tergenang karena saluran drain terhalang lendir.,Telah dilakukan penyedotan dan pembersihan serta pengeringan area terdampak.,,,Closed,,AHU L4-08,,,L3,7,7,,
