. ,,,,,,,,,,,,,,,,
FCU,,,,,,,,,,,,,,,,
Periode :,Maret - April,,,,,,,,,,,,,,,
List Service Unit HVAC,,,,,,,,,,,,,,,,
No.,Tanggal,Floor,Tenant / Area,Brand,Model,Jenis Unit,Cetegory Finding,Finding,Rekomendasi,Dokumentasi,,,,,,
1,02 Maret 2026,L4,OFFICE JAYA KENCANA,MC QUAY,MCC50,FCU,"U Trap
Watermur
Filter","U trap tidak ada, water mur tidak ada, filter tidak ada",,,,,,,,
2,,L4,R.PANEL 001,MC QUAY,MCC 60 ,FCU,,"Filter udara tidak ada, watermur tidak ada",,,,,,,,
3,,L4,R.PANEL 002,ITU,1200,FCU,,"Filter udara tidak ada, watermur tidak ada, U trap tidak ada",,,,,,,,
4,,L2,PAPILION DUO,MC QUAY,MCC30,FCU,,"Filter udara tidak ada, watermur tidak ada, U trap tidak ada",,,,,,,,
5,03 Maret 2026,P1,R. MDF 001,MC QUAY,MCC30,FCU,Bad Drain,"Bak drain keropos, U trap tidak ada, water mur tidak ada, filter udara tidak ada",,,,,,,,
6,,P1,R. MDF 002,ITU,1200,FCU,Bad Drain,Bak drain keropos,,,,,,,,
7,,L4,R. ENGINEERING,YORK SBH,75DW,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
8,,L2,TEVA ,TRANE,HCCA14,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
9,,L2,SAMSONITE ,MC QUAY,MCC60,FCU,,,,,,,,,,
10,,L2,COLUMBIA ,MC QUAY,MDB75,FCU,,,,,,,,,,
11,,L2,TUMI 001,MC QUAY,MCC40,FCU,,Water mur tidak ada,,,,,,,,
12,,L2,TUMI 002,MC QUAY,MDB75,FCU,,Water mur tidak ada,,,,,,,,
13,,L2,HERSCHEL SUPPLY COMPANY,TRANE,HCCA18,FCU,,Water mur tidak ada,,,,,,,,
14,04 Maret 2026,L2,UNDER ARMOUR 001,TRANE,HCCA24,FCU,,"U-Trap tidak ada, watermur tidak ada, filter udara tidak ada",,,,,,,,
15,,L2,UNDER ARMOUR 002,TRANE,HCCA24,FCU,,"U-Trap tidak ada, watermur tidak ada, filter udara tidak ada",,,,,,,,
16,,L2,SUSHI HIRO 002,TRANE,HCCA24,FCU,,"Water mur tidak ada, filter udara tidak ada",,,,,,,,
17,,L2,SUSHI HIRO 003,TRANE,HCCA24,FCU,,"Water mur tidak ada, filter udara tidak ada",,,,,,,,
18,,L2,SUSHI HIRO 004,TRANE,HCCA24,FCU,,Water mur tidak ada,,,,,,,,
19,,L2,SUSHI HIRO 001,TRANE,HCCA24,FCU,,Water mur tidak ada,,,,,,,,
20,,L2,CONVERSE 001,TRANE,HCCA14,FCU,,,,,,,,,,
21,,L2,CONVERSE 002,TRANE,HCCA24,FCU,,"Filter udara tidak ada, water mur tidak ada",,,,,,,,
22,,L2,BROWN COFFEE 001,TRANE,HCCA24,FCU,,"Water murtidak ada, Filter udara tidak ada",,,,,,,,
23,,L2,BROWN COFFEE 002,TRANE,HCCA24,FCU,,"filter udara tidak ada, water mur tidak ada",,,,,,,,
24,,L2,UNDER ARMOUR 003,TRANE,HCCA24,FCU,,"Water murtidak ada, U-trap tidak ada, air venting tidak ada",,,,,,,,
25,05 Maret 2026,L2,PLANET SPORTS ASIA 003,TRANE,HCCA24,FCU,,"Water mur tidak ada, U-trap tidak ada",,,,,,,,
26,,L2,PLANET SPORTS ASIA 004,TRANE,HCCA18,FCU,,"U-trap tidak ada, water mur tidak ada, filter udara udara tidak ada",,,,,,,,
27,,L2,SK-II L2,DAIKIN,SBH75,FCU,,Water mur tidak ada ,,,,,,,,
28,,L2,GOLF HOUSE  001,TRANE,HCCA24,FCU,,"Water mur tidak ada, U-trap tidak ada",,,,,,,,
29,,L2,DYSON 001,MC QUAY,MCC50,FCU,,"Filter udara tidak ada, water mur tidak ada, U-trap tidak ada",,,,,,,,
30,,L2,DYSON 002,MC QUAY,MCC50,FCU,,"Filter udara tidak ada, water mur tidak ada, U-trap tidak ada",,,,,,,,
31,,L2,CROCS ,TRANE,HCCA24,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
32,,L2,GOLF HOUSE 002,TRANE,HCCA10,FCU,,"Water mur tidak ada, air venting tidak ada",,,,,,,,
33,,L2,GOLF HOUSE  003,MC QUAY,MCC40,FCU,,Water mur tidak ada,,,,,,,,
