Daily Logsheet,,,,,,Contractor,,,Owner,,,,Daily Logsheet,,,,,,Contractor,,,Owner,,,,Daily Logsheet,,,,,,Contractor,,,Owner,,,Daily Logsheet,,,,,,Contractor,,,Owner,,
Customer,:,Lanud Roesmin Nurjadin (Rafale Simulator),,,,,,,,,,,Customer,:,Lanud Roesmin Nurjadin (Rafale Simulator),,,,,,,,,,,Customer,:,Lanud Roesmin Nurjadin (Rafale Simulator),,,,,,,,,,Customer,:,Lanud Roesmin Nurjadin (Rafale Simulator),,,,,,,,,
Equipment,:,Air Cooled Chiller,,,,,,,,,,,Equipment,:,AHU SIMULATOR,,,,,,,,,,,Equipment,:,"AHU CORRIDOR, CRAC & GENSET",,,,,,,,,,Equipment,:,FCU,,,,,,,,,
Date/ Time,:,5/20/2026,,,,,,,,,,,Date/ Time,:,5/20/2026,,,,,,,,,,,Date/ Time,:,5/20/2026,,,,,,,,,,Date/ Time,:,5/20/2026,,,,,,,,,
Page,:,1 of 4,,,,PT Daikin Applied Solutions Indonesia,,,Lanud Roesmin Nurjadin (Rafale Simulator),,,,Page,:,2 of 4,,,,PT Daikin Applied Solutions Indonesia,,,Lanud Roesmin Nurjadin (Rafale Simulator),,,,Page,:,3 of 4,,,,PT Daikin Applied Solution Indonesia,,,Lanud Roesmin Nurjadin (Rafale Simulator),,,Page,:,4 of 4,,,,PT Daikin Applied Solution Indonesia,,,Lanud Roesmin Nurjadin (Rafale Simulator),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILLER,,,,,,,,,,,,,AHU SIMULATOR 1,,,,,,,AHU SIMULATOR 2,,,,,,AHU CORRIDOR,,,,,,,CRAC,,,,,FCU,,,,,,,,,,,
PARAMETER,UNIT,DESIGN,CHILLER NO,,,,,,,,,,AHU SIMULATOR 1,,,PARAMETER,UNIT,DESIGN,ACTUAL,AHU SIMULATOR 2,,PARAMETER,UNIT,DESIGN,ACTUAL,AHU CORRIDOR,,,PARAMETER,UNIT,DESIGN,ACTUAL,CRAC-GF-01,,PARAMETER,UNIT,ACTUAL,FCU - GF,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,Room Name,,Room Temp,Design,Room Setpoint,Design,FCU Status,Design,MV Status,Design,Ampere (A),Design
Chiller Status,,ON - Auto,0n,0n,off,0ff,on,off,off,on,off,off,,,,AHU Status,,ON - Auto,ON,,,AHU Status,,ON - Auto,0n,,,,AHU Status,,ON - Auto,0n,,,Status Unit,,stop,MDF Room,,18.9,20 - 24 °C,17,20 - 24 °C,on,ON,on,ON,,0.98
Run Hours,(hr),-,,,,,,,,,,,,,,Room Temperature,(°C),19,19.7,,,Room Temperature,(°C),20 - 22,18.8,,,,Room Temperature,(°C),22 - 24,20.4,,,Status Fan,,stop,Electrical Room,,20.1,20 - 24 °C,17,20 - 24 °C,on,ON,on,ON,,0.98
MV Status,,-,,,,,,,,,,,,,,Room Humidity,(%),50 - 60,49.7,,,Room Humidity,(%),50 - 60,51.3,,,,Motorized Valve Setpoint,(%),30,30,,,Status Comp - 1,,stop,Server IDF Room,,17.6,20 - 24 °C,18.0,20 - 24 °C,on,ON,on,ON,,0.98
Unit Capacity,(%),-,,,,,,,,,,,,,,Room Pressure,(Pa),10 - 15,14.5,,,Room Pressure,(Pa),10 - 15,17.2,,,,Motorized Valve Percentage,(%),0 - 50,28,,,Status Comp - 2,,stop,Ship & Packing Room,,17.3,20 - 24 °C,25.0,20 - 24 °C,on,ON,off,ON,,0.98
EWT,(°C),12,7.4,7.4,23.0,26.3,8.1,27.4,26.1,8.0,26.2,25.8,,,,Motorized Valve Status,,Auto,auto,,,Motorized Valve Status,,Auto,auto,,,,Pre Filter,,Normal,normal,,,Temp High Alarm,,normal,Utility Office,,20.7,20 - 24 °C,22.0,20 - 24 °C,on,ON,off,ON,,0.98
LWT,(°C),7,6.1,6.3,22.2,26.6,5.7,26.9,26.1,5.7,25.8,25.5,,,,Motorized Valve Percentage,(%),-,85,,,Motorized Valve Percentage,(%),-,43,,,,Medium Filter,,Normal,normal,,,RH High Alarm,,normal,Computer Workshop,,22.1,20 - 24 °C,23.0,20 - 24 °C,0n,ON,on,ON,,0.98
Δ t,(°C),5,,,,,,,,,,,,,,Pre Filter,,Normal,NORMAL,,,Pre Filter,,Normal,normal,,,,VSD Fan Setpoint,(Hz),38,36,,,Alarm Status,,normal,Vidio Workshop,,23.2,20 - 24 °C,24.0,20 - 24 °C,on,ON,off,ON,,0.98
Pressure Inlet,(Bar),-,,,,,,,,,,,,,,Medium Filter,,Normal,NORMAL,,,Medium Filter,,Normal,normal,,,,VSD Fan Frequency,Hz,38,36,,,Supply Fan Speed,(%),0,Corridor,,21.0,20 - 24 °C,,20 - 24 °C,,ON,,ON,,0.98
Pressure Outlet,(Bar),-,,,,,,,,,,,,,,HEPA Filter,,Normal,NORMAL,,,HEPA Filter,,Normal,normal,,,,Fan Ampere R,(Amp),-,,,,Return Air Temp,(°C),20.3,Tech Pub Room,,21.1,20 - 24 °C,20.0,20 - 24 °C,on,ON,off,ON,,0.98
Δ P,(Bar),0.5 - 1,,,,,,,,,,,,,,Heater Status,,ON,ON,,,Heater Status,,ON,on,,,,Fan Ampere S,(Amp),-,,,,Return Air RH,(%),56,Maintenance Manager Office,,23.0,20 - 24 °C,22.0,20 - 24 °C,on,ON,off,ON,,0.98
R,(Amp),168.5/ 76.1,,,,,,,,,,,,,,Heater Stage,(Stage),-,stage 1,,,Heater Stage,(Stage),-,stage 1,,,,Fan Ampere T,(Amp),-,,CRAC-GF-02,,Status Unit,,run,Cafetaria,,21.3,20 - 24 °C,20.5,20 - 24 °C,on,ON,on,ON,,0.98
S,(Amp),168.5/ 76.1,,,,,,,,,,,,,,Heater Ampere R,(Amp),-,,,,Heater Ampere R,(Amp),-,,,,,Fan Voltage R-S,(V),380 - 415,,,,Status Fan,,run,Meeting Room,,22.1,20 - 24 °C,22,20 - 24 °C,on,ON,off,ON,,0.98
